zone_id,ambient_light_lux,motion_detected,temperature_celsius,occupancy_count,day_of_week,time_of_day,special_event_flag,energy_price_per_kwh,prev_hour_energy_usage_kwh,traffic_density,avg_pedestrian_speed,adjusted_light_intensity,energy_consumption_kwh,lighting_action_class,hour,month,is_weekend,season,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Foggy,weather_condition_Rainy
3,-0.9938401881956627,0,-0.46074607732658746,-0.2570316151815522,1,4,0,-0.9465584705068433,0.3998846823873057,0.37335724169966955,1.5870114658613041,-0.61864499484022,1.144,0,0,1,0,1,0,1,0,0
3,-0.9838948213186717,0,-0.9223678783639663,-0.46463606979410016,1,4,0,-0.3335682112013062,-0.576983980127358,-0.2974306641584231,-0.5025740694777007,0.9655821499064764,2.069,1,0,1,0,1,0,1,0,0
7,-0.9938401881956627,0,0.4497190665879674,0.15817729404354372,1,4,0,-0.647922190332351,-0.019561748974922907,0.5245207134423384,-0.07874304108346838,0.6294660654481957,1.687,1,1,1,0,1,1,0,0,0
2,-0.9938401881956627,1,1.3010838415115769,1.6114084763313794,1,4,0,0.8845534579314913,-1.2171916911539173,0.09937344916608258,-0.47300446284554465,0.19565223910737445,1.631,1,2,1,0,1,0,0,1,0
4,-0.9938401881956627,1,0.33631025041615437,0.5733862032686396,1,4,0,0.5387640808873421,-0.5659459161441415,0.41114810963533654,0.5520752337358539,0.47440451181810916,1.737,1,2,1,0,1,1,0,0,0
11,-0.8620348913985608,0,-0.002318890829259031,-0.672240524406648,1,4,0,1.6154264594111698,-1.4048387788685983,-0.6942347774829285,-0.01960382781915687,0.40135528279584237,1.695,0,3,1,0,1,0,1,0,0
12,-0.9938401881956627,0,-0.47991376456689344,1.1961995671062835,1,4,0,1.969074685933595,-1.4048387788685983,2.121184883724277,-0.6307090315503754,1.0027789965865261,2.191,1,4,1,0,1,0,1,0,0
10,-0.9063971203971003,1,1.2803188470012443,0.5733862032686396,1,4,0,0.5780583282787225,-0.5990601080937911,1.0252497135899283,1.3898807549802659,0.393288496768844,1.94,0,5,1,0,1,1,0,0,0
7,-0.8693730044659884,0,0.5743090336499587,0.15817729404354372,1,4,0,1.3796609750628865,2.2377223355928595,-0.5619667397080931,1.3603111483481098,0.6868298771957423,1.699,1,5,1,0,1,1,0,0,0
2,-0.05802508256569512,0,1.0487092928475426,0.5733862032686396,1,1,0,2.3934525577605053,-1.4048387788685983,1.459844694850101,0.611214447000165,-0.9906134616407172,1.05,0,6,1,0,1,1,0,0,0
1,0.3143897147828212,1,-0.15246577421165886,0.15817729404354372,1,1,0,1.780462298454968,-1.1454442752630096,-0.4769372868528421,1.1237542952908648,-1.2657804961172296,0.593,0,7,1,0,1,1,0,0,0
2,0.6970750908374527,0,-1.2482185614491756,2.441826294781571,1,1,0,0.6409291241049314,-0.5935410761021829,2.073946298804693,0.20709648969403702,-1.5844185441836798,0.681,0,8,1,0,1,1,0,0,0
10,0.9295570752490344,1,-0.8233348276223836,0.5733862032686396,1,1,0,0.16939815540836484,-1.4048387788685983,0.07103029821433213,0.5422186981918018,0.3005204574583582,1.643,1,8,1,0,1,0,0,1,0
1,0.48632670721155896,0,0.796334744183508,-0.879844979019196,1,1,0,0.6880822209745885,0.041147602932768236,-1.3839181173088544,-2.2471808607748884,-0.9596907818705555,0.903,0,9,1,0,1,1,0,0,0
1,0.7952890632330915,0,-1.9877718274709977,-1.295053888244292,1,1,0,1.1281777917580507,0.05218566691598478,-0.7131302114507619,-0.12802571880372818,-1.61175598571962,0.589,2,10,1,0,1,0,1,0,0
10,0.8257894854637288,0,-0.059821952550178165,-0.879844979019196,1,1,0,0.3973047902783722,-0.615617204068616,0.023791713294748152,-1.0446835244005555,0.9162851241859288,2.139,1,10,1,0,1,0,0,1,0
4,0.933053797309195,1,0.7787643642132273,0.9885951124937356,1,1,0,0.9002711568880433,2.6516497349634798,0.21274605297308408,-1.8430629034687602,0.8006611911322797,1.821,1,11,1,0,1,0,0,0,1
5,0.7133329027054011,0,-1.7290080497268612,0.15817729404354372,1,2,0,0.5780583282787225,-0.5714649481357498,0.45838669455492054,-0.9559747045040884,-1.3437594277115508,0.837,0,12,1,0,1,1,0,0,0
1,1.3339121215588425,0,0.7723751351331252,-1.087449433631744,1,2,0,-0.28641511433164984,-0.2016898046979956,0.39225267566750305,0.8280582289693071,-0.1476343218193494,1.703,0,13,1,0,1,1,0,0,0
1,0.23970495720376353,0,-1.2801647068496862,-0.879844979019196,1,2,0,-0.08994387737474697,-0.9136449316154623,-1.1666206266787682,0.3845141294869711,-0.8368963723484635,1.138,0,13,1,0,1,1,0,0,0
5,1.091273521560753,1,-2.5436347574398837,2.234221840169023,1,2,0,-1.119453159028918,2.5743832870809635,1.195308619300431,-2.2176112541427324,0.7827349999611718,2.203,1,14,1,0,1,1,0,0,0
2,1.1758536134277051,0,0.4640948320181972,-0.2570316151815522,1,2,0,-1.598842977203761,1.895542352113147,0.8362953739115924,-0.03931689890726071,0.41524808095345145,1.839,1,15,1,0,1,0,0,0,1
8,0.6921385420466377,0,-1.2641916341494306,-0.46463606979410016,1,2,0,-0.10566157633129887,-0.8805307396658129,0.5528638643940885,-1.862775974556864,-0.9534166149606675,1.033,0,16,1,0,1,0,1,0,0
